GEOID,lat,lon,population
84623,39.453838,-111.58845,336
84624,39.382623,-112.59373,5956
84626,39.936023,-111.984892,617
84627,39.355361,-111.585664,6151
84628,39.935745,-112.1343,991
84629,39.765512,-111.452879,3243
84630,39.310615,-111.834217,570
84631,38.997719,-112.396775,3072
84632,39.64495,-111.646511,1558
84633,39.939789,-111.891247,833
84634,39.17805,-111.834167,3690
84635,39.39071,-112.721528,897
84636,39.139593,-112.338879,452
84637,38.721755,-112.487146,674
84638,39.501927,-112.257709,325
84639,39.507173,-111.900107,886
84640,39.46475,-112.392214,260
84642,39.256568,-111.552177,3424
84643,39.128724,-111.684878,583
84644,38.848875,-112.33208,275
84645,39.860513,-111.840052,2982
84646,39.541055,-111.608795,1654
84647,39.527088,-111.40656,4578
84648,39.686596,-111.868172,7289
84649,39.346577,-112.330014,770
84651,39.957762,-111.693744,29502
84652,39.017239,-111.875876,838
84653,40.047985,-111.668488,11531
84654,38.864166,-111.678983,2551
84655,39.971313,-111.80682,17157
84656,39.235172,-112.108787,435
84657,38.818586,-111.938937,596
84660,40.040637,-111.419114,47004
84662,39.439773,-111.485741,1544
84663,40.192659,-111.489219,35889
84664,40.126231,-111.577176,12340
84665,39.192121,-111.616247,572
84667,39.500344,-111.664838,345
84701,38.590731,-111.800446,8756
84710,37.469176,-112.510553,308
84711,38.725549,-112.048812,849
84712,38.136558,-111.975577,119
84713,38.332558,-112.516895,4381
84714,37.838191,-113.765957,1078
84715,38.332217,-111.603131,439
84716,37.944418,-111.44226,544
84718,37.57951,-112.083026,226
84719,37.660881,-112.781467,49
84720,37.593409,-113.292337,24323
84721,37.768677,-113.133595,29635
84722,37.484812,-113.555594,773
84723,38.175495,-112.249497,431
84724,38.674153,-112.150144,1207
84725,37.540352,-113.780206,1665
84726,37.753358,-111.580362,792
84728,39.333131,-113.912398,63
84729,37.382639,-112.66015,488
84730,38.736397,-112.019284,744
84731,38.186485,-112.763384,36
84732,38.445321,-111.904087,39
84733,37.29713,-113.805681,252
84734,38.36269,-110.576846,211
84735,37.64493,-112.449555,184
84736,37.663277,-111.787795,292
84737,37.029351,-113.246397,23477
84738,37.216322,-113.698554,9607
84739,38.641996,-112.222964,596
84740,38.284281,-112.264387,305
84741,37.188452,-112.249236,6145
84742,37.517737,-113.158779,416
84743,38.208247,-112.185731,329
84744,38.626126,-111.918708,298
84745,37.208408,-113.262655,4429
84746,37.238607,-113.350607,1251
84747,38.446277,-111.637732,765
84749,38.354346,-111.499498,251
84750,38.438672,-112.192102,560
84751,38.37009,-112.920624,1776
84752,38.251007,-112.88724,979
84753,37.965227,-113.858043,0
84754,38.610772,-112.117106,4252
84755,37.226514,-112.7853,28
84756,37.742488,-113.54774,253
