zcta_u,zcta_v,travel_time_min
84327,84335,12.76
84521,84539,87.35166666666667
84032,84036,129.13833333333335
84028,84321,76.12333333333332
84326,84339,17.55
84760,84772,318.51
84062,84097,70.53500000000001
84511,84512,85.15
84006,84084,30.098333333333336
84715,84775,70.5
84055,84061,37.96666666666667
84040,84408,18.53166666666667
84006,84096,33.34166666666667
84511,84535,71.62833333333333
84523,84642,130.24333333333334
84632,84648,26.34333333333333
84026,84053,28.941666666666666
84064,84319,177.79500000000002
84321,84322,19.19333333333333
84763,84774,29.41166666666667
84056,84315,28.529999999999998
84330,84336,93.08166666666666
84525,84540,131.11166666666665
84035,84076,63.919999999999995
84046,84076,136.585
84107,84123,9.296666666666665
84321,84332,31.55
84623,84667,17.116666666666667
84321,84341,18.455
84624,84635,22.493333333333332
84301,84337,22.88
84070,84084,17.813333333333333
84720,84772,36.79833333333333
84049,84121,55.32166666666667
84056,84403,48.03
84721,84742,39.27333333333333
84539,84542,89.86166666666666
84039,84063,47.891666666666666
84004,84020,34.035
84013,84071,27.316666666666666
84663,84664,20.798333333333336
84652,84657,31.540000000000003
84074,84081,39.67333333333333
84302,84309,17.36
84004,84049,73.04666666666667
84102,84180,9.341666666666667
84774,84779,40.901666666666664
84747,84775,74.42166666666667
84302,84328,58.14833333333333
84639,84646,57.37
84501,84529,30.86
84729,84741,91.83333333333333
84008,84026,95.23666666666666
84532,84734,174.86
84501,84539,60.695
84715,84749,22.098333333333336
84066,84076,47.49166666666667
84606,84664,15.673333333333334
84752,84760,331.88
84752,84772,58.20333333333333
84042,84097,9.99
84044,84119,23.248333333333335
84058,84602,9.401666666666667
84006,84088,24.571666666666665
84065,84094,16.6
84093,84094,7.2683333333333335
84318,84321,23.743333333333332
84733,84738,41.71
84755,84762,105.565
84310,84317,33.126666666666665
84330,84331,26.38
84744,84747,52.24333333333333
84107,84117,9.271666666666667
84026,84066,29.696666666666665
84033,84108,70.25833333333334
84026,84076,24.834999999999997
84622,84665,34.40333333333333
84094,84095,12.098333333333333
84712,84723,37.00666666666667
84763,84767,16.883333333333333
84070,84088,10.604999999999999
84515,84520,124.115
84003,84042,26.68
84013,84065,30.226666666666667
84067,84315,13.1
84018,84024,110.15166666666667
84119,84123,10.514999999999999
84747,84749,26.02
84627,84662,28.855
84333,84341,22.21333333333333
84102,84114,9.4
84004,84043,25.32
84111,84150,5.376666666666667
84060,84121,52.515
84635,84728,168.63666666666668
84021,84073,54.78666666666666
84521,84528,64.95333333333333
84631,84636,30.823333333333334
84759,84776,64.21333333333334
84042,84059,10.0
84637,84766,57.89333333333333
84746,84790,28.178333333333335
84306,84325,11.361666666666668
84631,84656,39.598333333333336
84729,84755,64.13000000000001
84306,84334,9.129999999999999
84044,84104,21.05
84022,84074,51.34666666666667
84317,84403,32.35
84643,84665,25.966666666666665
84720,84721,35.166666666666664
84055,84060,47.309999999999995
84632,84647,81.83333333333333
84318,84326,24.566666666666666
84026,84052,45.376666666666665
84763,84784,48.94166666666667
84513,84523,33.434999999999995
84318,84335,16.333333333333332
84525,84539,117.14166666666667
84013,84022,53.294999999999995
84007,84073,27.628333333333334
84722,84783,49.684999999999995
84647,84662,75.935
84118,84129,9.24
84037,84075,15.158333333333333
84062,84604,65.50833333333334
84070,84095,9.216666666666667
84404,84408,27.578333333333333
84515,84525,76.45
84635,84638,58.11
84539,84540,196.19500000000002
84530,84535,48.751666666666665
84111,84113,9.15
84520,84542,75.24833333333332
84102,84108,24.546666666666667
84627,84667,23.888333333333332
84029,84083,100.39
84102,84150,7.805000000000001
84316,84337,28.985
84067,84414,25.646666666666665
84628,84645,43.651666666666664
84501,84528,59.26
84112,84114,13.193333333333333
84628,84655,37.336666666666666
84746,84780,19.67
84715,84747,20.896666666666665
84115,84119,9.74
84738,84790,36.830000000000005
84620,84622,19.805
84022,84069,23.438333333333333
84065,84070,13.83
84309,84325,20.091666666666665
84739,84754,16.135
84309,84334,11.593333333333334
84317,84414,49.15833333333333
84044,84118,21.993333333333332
84058,84601,9.485000000000001
84634,84665,29.923333333333336
84340,84404,86.37166666666667
84731,84759,93.515
84318,84320,25.971666666666668
84301,84302,15.368333333333334
84710,84755,65.73333333333333
84513,84516,24.505
84082,84663,77.19833333333332
84049,84082,40.684999999999995
84763,84779,42.4
84321,84326,33.92166666666667
84755,84784,122.29833333333333
84638,84639,69.24666666666667
84522,84734,140.75333333333336
84321,84335,31.378333333333334
84529,84539,74.86166666666666
84622,84652,12.711666666666668
84638,84649,39.32166666666667
84118,84120,7.931666666666667
84647,84667,76.885
84662,84667,31.03666666666667
84710,84776,55.788333333333334
84013,84045,91.71000000000001
84336,84337,77.62833333333333
84015,84075,10.316666666666666
84515,84530,111.30166666666668
84005,84071,44.526666666666664
84520,84525,98.39833333333333
84102,84103,19.941666666666666
84649,84728,205.85166666666666
84102,84113,5.576666666666667
84111,84138,3.935
84313,84336,190.85
84021,84072,80.91833333333334
84002,84085,109.30166666666668
84631,84635,69.73666666666666
84729,84735,43.61666666666667
84773,84775,56.74333333333333
84042,84058,10.251666666666667
84326,84328,24.971666666666668
84103,84114,23.41
84010,84050,56.26
84738,84780,41.00666666666667
84643,84652,32.781666666666666
84655,84664,31.525
84078,84085,81.74166666666666
84114,84150,2.2199999999999998
84117,84124,8.085
84105,84124,13.416666666666666
84007,84053,42.09666666666667
84301,84307,89.58
84513,84522,63.60666666666667
84009,84084,18.426666666666666
84003,84004,29.203333333333333
84324,84340,68.24666666666667
84045,84059,95.16000000000001
84009,84096,22.111666666666668
84106,84115,7.175
84622,84656,48.995
84138,84180,4.566666666666666
84722,84782,32.345
84765,84783,112.91166666666666
84014,84103,96.74166666666666
84118,84128,8.351666666666667
84312,84330,12.063333333333333
84657,84744,33.666666666666664
84735,84760,278.155
84017,84033,53.78333333333333
84005,84065,31.565
84714,84756,59.24166666666667
84304,84335,22.361666666666668
84305,84308,26.258333333333333
84111,84112,11.216666666666667
84333,84335,20.808333333333334
84017,84061,69.64666666666668
84032,84663,117.55833333333334
84533,84536,240.92166666666665
84029,84071,144.48
84305,84327,16.71333333333333
84010,84014,73.91666666666667
84022,84029,143.55
84102,84138,6.363333333333333
84042,84043,16.333333333333332
84010,84025,22.084999999999997
84316,84336,67.15333333333334
84076,84078,39.66
84637,84751,114.92333333333333
84306,84309,12.135
84746,84779,52.211666666666666
84038,84333,127.22
84032,84082,80.93666666666667
84309,84314,13.465
84010,84054,22.466666666666665
84020,84094,13.106666666666666
84512,84536,99.95833333333333
84634,84652,22.435
84049,84060,34.766666666666666
84710,84735,18.201666666666664
84069,84074,40.559999999999995
84332,84339,17.621666666666666
84025,84040,17.91
84037,84040,17.46833333333333
84001,84073,18.89333333333333
84513,84528,38.38666666666666
84009,84088,12.625
84025,84050,41.68333333333333
84714,84722,72.705
84106,84109,22.798333333333336
84742,84781,98.94333333333334
84644,84766,72.21333333333334
84638,84648,41.79333333333333
84118,84119,15.061666666666667
84657,84730,25.44333333333333
84743,84750,25.261666666666667
84312,84325,18.415000000000003
84320,84338,12.478333333333333
84028,84064,55.99666666666667
84312,84334,3.6
84532,84540,151.96666666666667
84313,84316,208.16666666666666
84627,84647,74.69833333333332
84041,84056,26.831666666666667
84060,84098,21.951666666666664
84711,84744,56.76
84750,84766,31.523333333333333
84006,84009,19.936666666666667
84060,84109,47.894999999999996
84102,84112,7.6433333333333335
84518,84539,79.65833333333333
84002,84073,30.003333333333334
84316,84331,67.73833333333333
84305,84331,54.12833333333333
84022,84034,302.7116666666667
84642,84662,52.24666666666667
84056,84067,20.466666666666665
84738,84765,97.08
84701,84747,60.31166666666666
84097,84602,9.856666666666666
84621,84634,15.995000000000001
84057,84059,8.216666666666667
84512,84531,83.67
84105,84113,9.04
84522,84654,59.61
84114,84138,4.321666666666667
84621,84654,26.663333333333334
84634,84656,55.39333333333333
84069,84080,57.91166666666666
84117,84123,13.535
84340,84414,79.08166666666666
84081,84118,7.35
84528,84537,69.00833333333334
84719,84762,48.218333333333334
84710,84758,71.80666666666666
84513,84521,43.888333333333335
84324,84339,18.316666666666666
84045,84058,94.61333333333333
84765,84770,99.78
84009,84095,11.716666666666667
84723,84740,13.213333333333333
84765,84782,109.22333333333333
84781,84782,25.078333333333333
84005,84045,89.94
84320,84333,13.551666666666668
84660,84664,72.905
84304,84325,14.754999999999999
84021,84027,67.16833333333334
84047,84123,13.1
84711,84730,14.19
84713,84750,86.24833333333332
84782,84783,17.34
84734,84775,33.821666666666665
84758,84779,127.105
84102,84106,11.533333333333333
84716,84764,118.73333333333333
84004,84092,54.66
84651,84660,101.65833333333333
84725,84782,30.009999999999998
84053,84066,23.73166666666667
84101,84111,2.3133333333333335
84530,84734,169.93666666666667
84032,84060,73.675
84015,84405,17.988333333333333
84053,84076,23.78666666666667
84328,84332,28.41166666666667
84602,84664,21.425
84020,84070,12.754999999999999
84104,84116,20.458333333333332
84319,84328,53.416666666666664
84088,84129,10.846666666666666
84082,84606,52.809999999999995
84020,84093,16.856666666666666
84630,84643,29.06
84719,84729,81.65833333333333
84054,84180,13.998333333333333
84033,84061,64.015
84512,84535,86.64666666666668
84751,84752,18.118333333333332
84630,84665,42.22166666666667
84308,84327,20.126666666666665
84001,84053,47.291666666666664
84340,84401,78.91333333333334
84742,84757,29.296666666666667
84722,84753,132.52
84622,84630,22.021666666666665
84516,84537,45.46333333333334
84403,84414,44.586666666666666
84001,84072,72.77166666666668
84047,84084,14.326666666666666
84312,84314,22.813333333333333
84047,84107,8.275
84005,84059,40.11333333333334
84083,84313,230.84666666666666
84047,84117,11.129999999999999
84017,84036,114.96166666666666
84629,84647,84.78500000000001
84711,84724,15.338333333333333
84734,84749,85.36166666666666
84304,84338,21.509999999999998
84043,84065,16.086666666666666
84098,84124,33.215
84128,84129,15.66
84002,84053,61.751666666666665
84305,84311,35.505
84518,84528,48.230000000000004
84057,84604,12.51
84518,84537,57.815000000000005
84626,84651,49.67333333333333
84651,84653,29.555
84726,84736,33.41
84101,84115,8.725
84718,84741,172.92333333333332
84050,84317,52.68833333333334
84319,84322,68.23166666666667
84029,84313,327.2816666666667
84104,84120,9.675
84319,84332,61.861666666666665
84054,84114,13.245000000000001
84024,84033,18.59
84319,84341,69.67666666666668
84097,84601,16.671666666666667
84710,84719,56.26166666666666
84081,84084,14.436666666666667
84057,84058,8.360000000000001
84071,84080,61.43333333333333
84114,84116,19.688333333333333
84081,84096,25.848333333333336
84095,84096,27.541666666666668
84105,84112,11.106666666666666
84522,84643,104.81666666666666
84621,84643,26.235
84024,84061,52.586666666666666
84036,84061,76.115
84092,84121,25.346666666666668
84117,84121,20.841666666666665
84001,84066,35.93
84622,84634,9.723333333333333
84401,84408,14.333333333333334
84051,84073,15.91
84601,84663,33.18333333333333
84047,84088,10.913333333333332
84304,84305,25.666666666666668
84714,84725,52.165
84721,84761,36.92666666666666
84745,84763,27.066666666666666
84629,84632,44.205000000000005
84724,84766,19.248333333333335
84660,84663,91.20166666666667
84108,84113,22.825
84649,84656,83.22
